id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1515,txn_p9pu5fkva9aferpfv4005,acc_p9opotuud3tio7hht4000,5.48,2023-06-09,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1516,txn_p9pu5fkva9aferpfv4006,acc_p9opotuud3tio7hht4000,5.13,2023-06-09,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1517,txn_p9pu5fkva9aferpfv4007,acc_p9opotuud3tio7hht4000,1.93,2023-06-09,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1518,txn_p9pu5fkva9aferpfv4008,acc_p9opotuud3tio7hht4000,78.85,2023-06-09,"Ruckus Pizza Pasta & S Morrisville Nc",general,"RUCKUS PIZZA PASTA",organization,,,
1519,txn_p9pu5fkva9aferpfv4009,acc_p9opotuud3tio7hht4000,264.21,2023-06-07,"Secret Dreams Music An 513-2357532 Oh",general,"SECRET DREAMS MUSIC",organization,,,
1520,txn_p9pu5fkva9aferpfv400a,acc_p9opotuud3tio7hht4000,264.21,2023-06-07,"Secret Dreams Music An 513-2357532 Oh",general,"SECRET DREAMS MUSIC",organization,,,
1521,txn_p9pu5fkva9aferpfv400b,acc_p9opotuud3tio7hht4000,10.68,2023-06-07,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1522,txn_p9pu5fkva9aferpfv400c,acc_p9opotuud3tio7hht4000,1.3,2023-06-07,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1523,txn_p9pu5fkva9aferpfv400d,acc_p9opotuud3tio7hht4000,7.52,2023-06-07,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1524,txn_p9pu5fkva9aferpfv400e,acc_p9opotuud3tio7hht4000,4.08,2023-06-07,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1525,txn_p9pu5fkvq9aferpfv4000,acc_p9opotuud3tio7hht4000,3.74,2023-06-07,"Shell Oil 12816233006 Cary Nc",fuel,SHELL,organization,,,
1526,txn_p9pu5fkvq9aferpfv4001,acc_p9opotuud3tio7hht4000,9.74,2023-06-06,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1527,txn_p9pu5fkvq9aferpfv4002,acc_p9opotuud3tio7hht4000,8.94,2023-06-06,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1528,txn_p9pu5fkvq9aferpfv4003,acc_p9opotuud3tio7hht4000,13.29,2023-06-05,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1529,txn_p9pu5fkvq9aferpfv4004,acc_p9opotuud3tio7hht4000,3.46,2023-06-05,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1530,txn_p9pu5fkvq9aferpfv4005,acc_p9opotuud3tio7hht4000,-363.36,2023-06-02,"Payment Thank You",Unknown,Unknown,Unknown,,,
1531,txn_p9pu5fkvq9aferpfv4006,acc_p9opotuud3tio7hht4000,10.19,2023-05-30,"Interest Charge On Purchases",Unknown,Unknown,Unknown,,,
1532,txn_p9pu5fkvq9aferpfv4007,acc_p9opotuud3tio7hht4000,-50.0,2023-05-22,"Internet Payment Thank You",Unknown,Unknown,Unknown,,,
1533,txn_p9pu5fkvq9aferpfv4008,acc_p9opotuud3tio7hht4000,-52.0,2023-05-16,"Payment Thank You",Unknown,Unknown,Unknown,,,
1534,txn_p9pu5fkvq9aferpfv4009,acc_p9opotuud3tio7hht4000,-60.0,2023-04-28,"Internet Payment Thank You",Unknown,Unknown,Unknown,,,
1535,txn_p9pu5fkvq9aferpfv400a,acc_p9opotuud3tio7hht4000,54.02,2023-04-28,"Harris Teeter Fuel #49 Cary Nc",general,"HARRIS TEETER",organization,,,
1536,txn_p9pu5fkvq9aferpfv400b,acc_p9opotuud3tio7hht4000,11.15,2023-04-27,"Interest Charge On Purchases",Unknown,Unknown,Unknown,,,
1537,txn_p9pu5fkvq9aferpfv400c,acc_p9opotuud3tio7hht4000,-64.0,2023-04-17,"Payment Thank You",Unknown,Unknown,Unknown,,,
1538,txn_p9pu5fkvq9aferpfv400d,acc_p9opotuud3tio7hht4000,5.5,2023-03-27,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1539,txn_p9pu5fl0a9aferpfv4000,acc_p9opotuud3tio7hht4000,1.5,2023-03-27,"Amk Cs Nc Raleigh Cafe Morrisville Nc",general,AMK,organization,,,
1540,txn_p9pu5fl0a9aferpfv4001,acc_p9opotuud3tio7hht4000,1.06,2023-03-27,"Amk Cs Nc Raleigh Cafe Morrisville Nc",general,AMK,organization,,,
1541,txn_p9pu5fl0a9aferpfv4002,acc_p9opotuud3tio7hht4000,12.76,2023-03-27,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1542,txn_p9pu5fl0a9aferpfv4003,acc_p9opotuud3tio7hht4000,9.35,2023-03-27,"Interest Charge On Purchases",Unknown,Unknown,Unknown,,,
1543,txn_p9pu5fl0a9aferpfv4004,acc_p9opotuud3tio7hht4000,11.75,2023-03-23,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1544,txn_p9pu5fl0a9aferpfv4005,acc_p9opotuud3tio7hht4000,3.83,2023-03-21,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
